authorId,name
2884561,Sebastian Ruder
2705113,Swabha Swayamdipta
145662441,Thomas Wolf
1387447871,José Camacho-Collados
1667035673,Kiamehr Rezaee
2071515376,Talayeh Riahi
27044733,Asahi Ushio
144653901,Daniel Loureiro
2122908904,Dimosthenis Antypas
40450311,Joanne Boisson
1405384395,Luis Espinosa-Anke
144097210,Fangyu Liu
2263593159,Eugenio Martínez-Cámara
2174028741,Gonzalo Medina
6014796,T. Buhrmann
152842060,Leonardo Neves
1499242010,Francesco Barbieri
2268520273,Dr. V. Geetha
150075594,Dr.C K Gomathy
2269633808,Mr.D.Sri Datta Vallab Yaratha Yagn
2269632950,Sai Praneesh
143981120,M. V. Koroteev
2089067,Yoav Goldberg
2114751778,Minh Nguyen
1405279380,Viet Dac Lai
1994333,Marina Danilevsky
143857309,Kun Qian
48361424,R. Aharonov
2208580,Yannis Katsis
1814905,B. Kawas
40655309,Prithviraj Sen
2405808129,Charlotte Caucheteux
28972230,J. King
51133383,Michael A. Hedderich
47665464,Lukas Lange
145793834,Heike Adel
2013656,Jannik Strotgen
2561225,D. Klakow
145188499,Marcos Vinícius Treviso
51129266,Tianchu Ji
2108605329,Ji-Ung Lee
51436004,Betty van Aken
31961604,Qingqing Cao
3451493,Manuel R. Ciosici
2141516697,Michael Hassid
1702066,Kenneth Heafield
50237813,Sara Hooker
144869806,Pedro Henrique Martins
1400227478,André F. T. Martins
39774809,Jessica Zosa Forde
2719024,Peter Milder
2402716,Colin Raffel
145795026,Edwin Simpson
1766595,N. Slonim
35217367,Niranjan Balasubramanian
113320522,Leon Derczynski
2279023325,Roy Schwartz
1681160,Julio Gonzalo
1389780530,M. Montes-y-Gómez
133975199,Francisco Rangel
1697004,D. Katz
2007237523,D. Hartung
2203805499,Lauritz Gerlach
16228163,Abhik Jana
50407992,M. Bommarito
2110042101,Yue Kang
2113440494,Zhao Cai
33593082,Chee‐Wee Tan
144158674,Qian Huang
2748728,Hefu Liu
143978279,Andrea Galassi
70246478,M. Lippi
2896208,Paolo Torroni
35446689,Hanrui Wang
1390573666,Zhanghao Wu
47781592,Zhijian Liu
2114069742,Han Cai
20515689,Ligeng Zhu
144158271,Chuang Gan
143840275,Song Han
1929423,Zhisong Zhang
2268272,Emma Strubell
3436466,Palash Goyal
35244579,Sumit Pandey
1911631,K. Jain
2384711,Chunting Zhou
73331542,周春婷
2186852856,P. Schneider
2120192839,Tim Schopf
2066962303,Juraj Vladika
2066369448,Mikhail Galkin
2927032,E. Simperl
2522197,F. Matthes
51583409,Bill Yuchen Lin
2087126470,Chaoyang He
2075413447,ZiHang Zeng
2109580364,Hulin Wang
2108692967,Yufen Huang
2766123,M. Soltanolkotabi
1384550891,Xiang Ren
121011351,S. Avestimehr
2108860856,Xiaodong Liu
48441311,Jianfeng Gao
46331602,Irene Li
2110167847,Jessica Pan
2067298269,Jeremy Goldwasser
2066061874,Neha Verma
2117714907,Wai Pan Wong
2215355,Muhammed Yavuz Nuzumlali
2238888808,Benjamin Rosand
2143100426,Yixin Li
2383306325,Matthew Zhang
2064602278,David Chang
2110665673,R. Taylor
2117715807,H. Krumholz
9215251,Dragomir R. Radev
2115939351,Shijie Chen
46867608,Yu Zhang
153096457,Qiang Yang
37506225,Arlene Casey
108549888,E. Davidson
2238707685,M. Poon
2113412078,Hang Dong
2237293761,Daniel Duma
2258712006,Andreas Grivas
144003169,Claire Grover
1405193925,Víctor Suárez-Paniagua
2275458252,Richard Tobin
40531428,W. Whiteley
2241781737,Honghan Wu
2269296214,Beatrice Alex
153011612,Jackie Ayoub
2252160650,X. J. Yang
2281242156,Feng Zhou
1414186948,A. Le Glaz
1701184,Y. Haralambous
1414187098,Deok-Hee Kim-Dufor
1697815,P. Lenca
49103206,R. Billot
1387401785,Taylor C. Ryan
2087873967,Jonathan J. Marsh
5293769,J. Devylder
143832607,M. Walter
3824516,S. Berrouiguet
32794004,C. Lemey
2535871,A. Alhogail
2128381999,Afrah Alsabih
66732907,Hamzah Khan
2051159636,Asma Khan
2045189003,Zainab F. Khan
2051158703,L. Huang
2119044129,Kun Wang
145836234,Lei He
46586676,Liping Zhao
51452296,Waad Alhoshan
1452346602,Alessio Ferrari
2440101,Keletso J. Letsholo
72673822,Muideen A. Ajagbe
2006644,Erol-Valeriu Chioasca
1400900759,R. Batista-Navarro
82563120,Karolina Stańczak
1736067,Isabelle Augenstein
3010546,R. Guarasci
119392103,G. De Pietro
145934446,M. Esposito
3975984,Stephen T Wu
1742509,Kirk Roberts
32630015,Surabhi Datta
1728324,Jingcheng Du
121500133,Zongcheng Ji
31666608,Yuqi Si
